,id,name_x,artist_ids,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,title,rank,date,artist,region,streams,DATE,Year,name_y
429833,66W1rVTnEv86dIkFhoiElg,Secrets,"['4ofCBoyEiGSePFAG500xev', '5KKpBU5eC2tJDzf0wmlRp2']",True,0.848,0.768,-5.386,0.0373,0.0412,0.000785,0.195,0.777,118.961,176767,2020,Secrets,131,2020-05-01,"Regard, RAYE",Ireland,7202.0,2020-05-01,2020,Secrets
434601,611nlMA40SKg9gQ4pTVXT3,Discord,"['0I6yADrmeyvw66g7yjkqIF', '2uDaDi5TsgEtUBCPRx7mlp']",False,0.6759999999999999,0.835,-4.382,0.044,0.00682,3.04e-05,0.081,0.8,104.987,193776,2012,Discord,164,2021-06-01,"The Living Tombstone, Eurobeat Brony",Romania,2578.0,2021-06-01,2021,Discord
434673,1Yo53DrSr18OD3HNAPRPcj,Can't Fall Asleep,"['1frSJ3BwjRHE9jgMRQV5wC', '7c1rIwBQdZMoJD4VE9luoS']",False,0.7290000000000001,0.866,-4.823,0.0419,0.0136,0.0448,0.1939999999999999,0.708,122.035,175194,2019,Can't Fall Asleep,181,2019-06-03,"Zookeepers, Clara",Denmark,8782.0,2019-06-03,2019,Can't Fall Asleep
434740,03mMSLEJCPoGJwQhHpN5y0,Treat People With Kindness,['6KImCVD70vtIoJWnq6nGn3'],False,0.653,0.8690000000000001,-3.725,0.0382,0.128,2.2e-05,0.046,0.6970000000000001,122.017,197347,2019,Treat People With Kindness,100,2019-12-12,Harry Styles,New Zealand,10321.0,2019-12-12,2019,Treat People With Kindness
434824,4SOqk3Q7TjRhxVeZTaI83x,Pôr do sol na praia,['3CDoRporvSjdzTrm99a3gi'],False,0.6629999999999999,0.8,-6.5829999999999975,0.038,0.723,0.000137,0.102,0.971,80.015,160657,2020,Pôr do sol na praia,103,2020-04-24,LUDMILLA,Brazil,103865.0,2020-04-24,2020,Pôr do sol na praia
434825,5tx7TTJEcrV5642l0Sn2sD,"Pirueta (with Arcangel, Chencho Corleone, feat. Wisin & Yandel, Myke Towers)","['3fZk3Gm5dN5v5yfYMQ04Bx', '4SsVbpTthjScTS7U2hmr1X', '37230BxxYs9ksS7OkZw3IU', '1wZtkThiXbVNtj6hee6dz9', '7iK8PXO48WeuP03g8YR51W']",True,0.7959999999999999,0.8490000000000001,-3.841,0.071,0.0457,0.0,0.155,0.784,81.025,275241,2020,"Pirueta (with Arcangel, Chencho Corleone, feat. Wisin & Yandel, Myke Towers)",150,2020-06-01,Dímelo Flow,Spain,45159.0,2020-06-01,2020,"Pirueta (with Arcangel, Chencho Corleone, feat. Wisin & Yandel, Myke Towers)"
438848,5ZbFL9LS3o8URGma7Dpt9t,Tacos,['0pnd3MP2rxAzljR9AqXUJB'],False,0.847,0.905,-4.437,0.0489,0.118,0.00131,0.0548,0.883,114.993,138147,2020,Tacos,43,2020-08-14,Little Big,Russia,16988.0,2020-08-14,2020,Tacos
438856,5joNJn9LUvYcamWwa2iYCL,Nonstop,['2019zR22qK2RBvCqtudBaI'],False,0.753,0.91,-2.591,0.0517,0.171,0.0,0.3670000000000001,0.825,123.983,202760,2020,Nonstop,90,2020-05-01,OH MY GIRL,Hong Kong,3525.0,2020-05-01,2020,Nonstop
439148,7MthitzhOiulghCWPy3AhK,AURA,['6nfDaffa50mKtEOwR8g4df'],False,0.6890000000000001,0.768,-4.757,0.119,0.143,1.06e-06,0.111,0.708,89.885,186068,2020,AURA,61,2020-04-20,GOT7,Thailand,13128.0,2020-04-20,2020,AURA
439153,5VYbLzAplnqPaGNpcf8qhZ,Hit the Floor,['6XyY86QOPPrYVGvF9ch6wz'],False,0.74,0.959,-3.692,0.193,0.0629,0.0,0.0444,0.878,150.007,164213,2003,Hit the Floor,145,2017-07-21,Linkin Park,Czech Republic,1954.0,2017-07-21,2017,Hit the Floor
